OBJECTID,GEOID_Data,B01001e1,GEOID
755,05000US18111,14056,18111
756,05000US18113,47421,18113
757,05000US18115,5911,18115
758,05000US18117,19623,18117
759,05000US18119,20957,18119
760,05000US18121,17062,18121
761,05000US18123,19229,18123
762,05000US18125,12471,18125
763,05000US18127,167391,18127
764,05000US18129,25599,18129
765,05000US18131,12761,18131
766,05000US18133,37543,18133
767,05000US18135,25203,18135
768,05000US18137,28372,18137
769,05000US18139,16765,18139
770,05000US18141,268613,18141
771,05000US18143,23722,18143
772,05000US18145,44339,18145
773,05000US18147,20610,18147
774,05000US18149,22966,18149
775,05000US18151,34459,18151
776,05000US18153,20900,18153
777,05000US18155,10617,18155
778,05000US18157,186081,18157
779,05000US18159,15290,18159
780,05000US18161,7225,18161
781,05000US18163,181831,18163
782,05000US18165,15644,18165
783,05000US18167,107723,18167
784,05000US18169,31848,18169
785,05000US18171,8269,18171
786,05000US18173,61581,18173
787,05000US18175,27807,18175
788,05000US18177,66972,18177
789,05000US18179,27832,18179
790,05000US18181,24279,18181
791,05000US18183,33481,18183
792,05000US19001,7192,19001
793,05000US19003,3785,19003
794,05000US19005,13940,19005
795,05000US19007,12547,19007
796,05000US19009,5711,19009
797,05000US19011,25646,19011
798,05000US19013,132960,19013
799,05000US19015,26381,19015
800,05000US19017,24741,19017
801,05000US19019,21101,19019
802,05000US19021,20369,19021
803,05000US19023,14822,19023
804,05000US19025,9814,19025
805,05000US19027,20428,19027
806,05000US19029,13327,19029
807,05000US19031,18368,19031
808,05000US19033,43134,19033
809,05000US19035,11577,19035
810,05000US19037,12140,19037
811,05000US19039,9267,19039
812,05000US19041,16387,19041
813,05000US19043,17711,19043
814,05000US19045,47587,19045
815,05000US19047,17131,19047
816,05000US19049,80864,19049
817,05000US19051,8834,19051
818,05000US19053,8105,19053
819,05000US19055,17326,19055
820,05000US19057,39876,19057
821,05000US19059,17000,19059
822,05000US19061,96571,19061
823,05000US19063,9661,19063
824,05000US19065,20139,19065
825,05000US19067,15904,19067
826,05000US19069,10326,19069
827,05000US19071,6985,19071
828,05000US19073,9046,19073
829,05000US19075,12354,19075
830,05000US19077,10664,19077
831,05000US19079,15201,19079
832,05000US19081,10971,19081
833,05000US19083,17239,19083
834,05000US19085,14196,19085
835,05000US19087,19865,19087
836,05000US19089,9321,19089
837,05000US19091,9586,19091
838,05000US19093,6965,19093
839,05000US19095,16231,19095
840,05000US19097,19409,19097
841,05000US19099,36789,19099
842,05000US19101,17945,19101
843,05000US19103,144425,19103
844,05000US19105,20468,19105
845,05000US19107,10223,19107
846,05000US19109,15166,19109
847,05000US19111,34785,19111
848,05000US19113,220008,19113
849,05000US19115,11238,19115
850,05000US19117,8600,19117
851,05000US19119,11745,19119
852,05000US19121,15720,19121
853,05000US19123,22301,19123
854,05000US19125,33127,19125
855,05000US19127,40476,19127
856,05000US19129,14933,19129
857,05000US19131,10663,19131
858,05000US19133,8865,19133
859,05000US19135,7912,19135
860,05000US19137,10239,19137
861,05000US19139,42923,19139
862,05000US19141,13944,19141
863,05000US19143,6149,19143
864,05000US19145,15393,19145
865,05000US19147,9110,19147
866,05000US19149,25027,19149
867,05000US19151,6972,19151
868,05000US19153,467235,19153
869,05000US19155,93287,19155
870,05000US19157,18428,19157
871,05000US19159,4986,19159
872,05000US19161,9936,19161
873,05000US19163,171493,19163
874,05000US19165,11772,19165
875,05000US19167,34692,19167
876,05000US19169,95888,19169
877,05000US19171,17236,19171
878,05000US19173,6214,19173
879,05000US19175,12497,19175
880,05000US19177,7308,19177
881,05000US19179,35321,19179
882,05000US19181,48630,19181
883,05000US19183,22095,19183
884,05000US19185,6405,19185
885,05000US19187,36945,19187
886,05000US19189,10545,19189
887,05000US19191,20575,19191
888,05000US19193,102397,19193
889,05000US19195,7502,19195
890,05000US19197,12864,19197
891,05000US20001,12752,20001
892,05000US20003,7840,20003
893,05000US20005,16466,20005
894,05000US20007,4905,20007
895,05000US20009,27067,20009
896,05000US20011,14757,20011
897,05000US20013,9736,20013
898,05000US20015,66260,20015
899,05000US20017,2665,20017
900,05000US20019,3425,20019
901,05000US20021,20501,20021
902,05000US20023,2677,20023
903,05000US20025,2089,20025
904,05000US20027,8203,20027
905,05000US20029,9191,20029
906,05000US20031,8328,20031
907,05000US20033,1741,20033
908,05000US20035,35732,20035
909,05000US20037,39099,20037
910,05000US20039,2891,20039
911,05000US20041,19162,20041
912,05000US20043,7790,20043
913,05000US20045,117806,20045
914,05000US20047,2946,20047
915,05000US20049,2581,20049
916,05000US20051,28877,20051
917,05000US20053,6331,20053
918,05000US20055,37097,20055
919,05000US20057,34658,20057
920,05000US20059,25599,20059
921,05000US20061,35796,20061
922,05000US20063,2632,20063
923,05000US20065,2561,20065
924,05000US20067,7716,20067
925,05000US20069,6004,20069
926,05000US20071,1210,20071
927,05000US20073,6227,20073
928,05000US20075,2621,20075
929,05000US20077,5746,20077
930,05000US20079,34683,20079
931,05000US20081,4081,20081
932,05000US20083,1875,20083
933,05000US20085,13322,20085
934,05000US20087,18856,20087
935,05000US20089,2963,20089
936,05000US20091,578797,20091
937,05000US20093,3931,20093
938,05000US20095,7576,20095
939,05000US20097,2524,20097
940,05000US20099,20553,20099
941,05000US20101,1702,20101
942,05000US20103,79359,20103
943,05000US20105,3121,20105
944,05000US20107,9602,20107
945,05000US20109,2790,20109
946,05000US20111,33302,20111
947,05000US20113,28792,20113
948,05000US20115,12087,20115
949,05000US20117,9859,20117
950,05000US20119,4295,20119
951,05000US20121,32976,20121
952,05000US20123,6230,20123
953,05000US20125,33463,20125
954,05000US20127,5605,20127
955,05000US20129,2931,20129
956,05000US20131,10095,20131
957,05000US20133,16209,20133
958,05000US20135,3001,20135
959,05000US20137,5527,20137
960,05000US20139,15894,20139
961,05000US20141,3684,20141
962,05000US20143,5957,20143
963,05000US20145,6776,20145
964,05000US20147,5446,20147
965,05000US20149,23188,20149
966,05000US20151,9670,20151
967,05000US20153,2520,20153
968,05000US20155,63360,20155
969,05000US20157,4705,20157
970,05000US20159,9868,20159
971,05000US20161,75696,20161
972,05000US20163,5148,20163
973,05000US20165,3119,20165
974,05000US20167,6987,20167
975,05000US20169,55334,20169
976,05000US20171,4981,20171
977,05000US20173,510484,20173
978,05000US20175,22948,20175
979,05000US20177,178392,20177
980,05000US20179,2497,20179
981,05000US20181,5999,20181
982,05000US20183,3693,20183
983,05000US20185,4251,20185
984,05000US20187,2107,20187
985,05000US20189,5741,20189
986,05000US20191,23336,20191
987,05000US20193,7847,20193
988,05000US20195,2899,20195
989,05000US20197,6918,20197
990,05000US20199,1591,20199
991,05000US20201,5572,20201
992,05000US20203,2157,20203
993,05000US20205,8858,20205
